weekday,date,study_time,study_decimal
5,4/29/2016,0:00,0
6,4/30/2016,0:00,0
7,5/1/2016,3:17,3.283333333
1,5/2/2016,5:03,5.05
2,5/3/2016,0:55,0.916666667
3,5/4/2016,1:30,1.5
4,5/5/2016,2:25,2.416666667
5,5/6/2016,0:00,0
6,5/7/2016,0:00,0
7,5/8/2016,0:00,0
1,5/9/2016,5:15,5.25
2,5/10/2016,0:30,0.5
3,5/11/2016,5:41,5.683333333
4,5/12/2016,2:31,2.516666667
5,5/13/2016,0:00,0
6,5/14/2016,0:00,0
7,5/15/2016,0:00,0
1,5/16/2016,4:16,4.266666667
2,5/17/2016,0:57,0.95
3,5/18/2016,0:00,0
4,5/19/2016,0:00,0
5,5/20/2016,0:00,0
6,5/21/2016,0:00,0
7,5/22/2016,3:18,3.3
1,5/23/2016,2:19,2.316666667
2,5/24/2016,,0
3,5/25/2016,,0
4,5/26/2016,,0
5,5/27/2016,,0
6,5/28/2016,,0
7,5/29/2016,,0
1,5/30/2016,,0
2,5/31/2016,,0
3,6/1/2016,,0
4,6/2/2016,,0
5,6/3/2016,,0
6,6/4/2016,,0
7,6/5/2016,,0
1,6/6/2016,,0
2,6/7/2016,,0
3,6/8/2016,,0
4,6/9/2016,,0
5,6/10/2016,,0
6,6/11/2016,,0
7,6/12/2016,,0
1,6/13/2016,,0
2,6/14/2016,,0
3,6/15/2016,,0
4,6/16/2016,,0
5,6/17/2016,,0
6,6/18/2016,,0
7,6/19/2016,,0
1,6/20/2016,,0
2,6/21/2016,,0
3,6/22/2016,,0
4,6/23/2016,,0
5,6/24/2016,,0
6,6/25/2016,,0
7,6/26/2016,,0
1,6/27/2016,,0
2,6/28/2016,,0
3,6/29/2016,,0
4,6/30/2016,,0
5,7/1/2016,,0
6,7/2/2016,,0
7,7/3/2016,,0
1,7/4/2016,,0
2,7/5/2016,,0
3,7/6/2016,,0
4,7/7/2016,,0
5,7/8/2016,,0
6,7/9/2016,,0
7,7/10/2016,,0
1,7/11/2016,,0
2,7/12/2016,,0
3,7/13/2016,,0
4,7/14/2016,,0
5,7/15/2016,,0
6,7/16/2016,,0
7,7/17/2016,,0
1,7/18/2016,,0
2,7/19/2016,,0
3,7/20/2016,,0
4,7/21/2016,,0
5,7/22/2016,,0
6,7/23/2016,,0
7,7/24/2016,,0
1,7/25/2016,,0
2,7/26/2016,,0
3,7/27/2016,,0
4,7/28/2016,,0
5,7/29/2016,,0
6,7/30/2016,,0
7,7/31/2016,,0
1,8/1/2016,,0
2,8/2/2016,,0
3,8/3/2016,,0
4,8/4/2016,,0
5,8/5/2016,,0
6,8/6/2016,,0
7,8/7/2016,,0
1,8/8/2016,,0
2,8/9/2016,,0
3,8/10/2016,,0
4,8/11/2016,,0
5,8/12/2016,,0
6,8/13/2016,,0
7,8/14/2016,,0
1,8/15/2016,,0
2,8/16/2016,0:00,0
3,8/17/2016,0:00,0
4,8/18/2016,0:00,0
