weekday,date,study_time,study_decimal
1,4/29/2019,1:30,1.50
2,4/30/2019,2:06,2.10
3,5/1/2019,1:50,1.83
4,5/2/2019,2:25,2.42
5,5/3/2019,5:02,5.03
6,5/4/2019,0:00,0.00
7,5/5/2019,1:52,1.87
1,5/6/2019,10:22,10.37
2,5/7/2019,8:03,8.05
3,5/8/2019,11:25,11.42
4,5/9/2019,4:00,4.00
5,5/10/2019,2:53,2.88
6,5/11/2019,7:12,7.20
7,5/12/2019,11:39,11.65
1,5/13/2019,2:36,2.60
2,5/14/2019,,0.00
3,5/15/2019,,0.00
4,5/16/2019,,0.00
5,5/17/2019,,0.00
6,5/18/2019,,0.00
7,5/19/2019,,0.00
1,5/20/2019,,0.00
2,5/21/2019,,0.00
3,5/22/2019,,0.00
4,5/23/2019,,0.00
5,5/24/2019,,0.00
6,5/25/2019,,0.00
7,5/26/2019,,0.00
1,5/27/2019,,0.00
2,5/28/2019,,0.00
3,5/29/2019,,0.00
4,5/30/2019,,0.00
5,5/31/2019,,0.00
6,6/1/2019,,0.00
7,6/2/2019,,0.00
1,6/3/2019,,0.00
2,6/4/2019,,0.00
3,6/5/2019,,0.00
4,6/6/2019,,0.00
5,6/7/2019,,0.00
6,6/8/2019,,0.00
7,6/9/2019,,0.00
1,6/10/2019,,0.00
2,6/11/2019,,0.00
3,6/12/2019,,0.00
4,6/13/2019,,0.00
5,6/14/2019,,0.00
6,6/15/2019,,0.00
7,6/16/2019,,0.00
1,6/17/2019,,0.00
2,6/18/2019,,0.00
3,6/19/2019,,0.00
4,6/20/2019,,0.00
5,6/21/2019,,0.00
6,6/22/2019,,0.00
7,6/23/2019,,0.00
1,6/24/2019,,0.00
2,6/25/2019,,0.00
3,6/26/2019,,0.00
4,6/27/2019,,0.00
5,6/28/2019,,0.00
6,6/29/2019,,0.00
7,6/30/2019,,0.00
1,7/1/2019,,0.00
2,7/2/2019,,0.00
3,7/3/2019,,0.00
4,7/4/2019,,0.00
5,7/5/2019,,0.00
6,7/6/2019,,0.00
7,7/7/2019,,0.00
1,7/8/2019,,0.00
2,7/9/2019,,0.00
3,7/10/2019,,0.00
4,7/11/2019,,0.00
5,7/12/2019,,0.00
6,7/13/2019,,0.00
7,7/14/2019,,0.00
1,7/15/2019,,0.00
2,7/16/2019,,0.00
3,7/17/2019,,0.00
